,rec_id,date,ppe,qty
121,rec6,2020-04-02 16:56:00+00:00,respirators,1100.0
122,rec6,2020-04-02 16:56:00+00:00,gowns,1200.0
124,rec6,2020-04-02 16:56:00+00:00,disinfectingWipes,20.0
128,rec7,2020-04-02 16:59:00+00:00,thermometers,125.0
134,rec7,2020-04-02 16:59:00+00:00,handmadeMasks,1200.0
139,rec7,2020-04-02 16:59:00+00:00,respirators,2800.0
140,rec7,2020-04-02 16:59:00+00:00,gowns,2000.0
142,rec7,2020-04-02 16:59:00+00:00,disinfectingWipes,500.0
145,rec8,2020-04-02 17:38:00+00:00,faceShields,50.0
146,rec8,2020-04-02 17:38:00+00:00,thermometers,12.0
150,rec8,2020-04-02 17:38:00+00:00,disposableBooties,50.0
153,rec8,2020-04-02 17:38:00+00:00,nitrileGloves,5.0
156,rec8,2020-04-02 17:38:00+00:00,handSanitizer,50.0
157,rec8,2020-04-02 17:38:00+00:00,respirators,50.0
158,rec8,2020-04-02 17:38:00+00:00,gowns,100.0
160,rec8,2020-04-02 17:38:00+00:00,disinfectingWipes,50.0
163,rec9,2020-04-02 17:48:00+00:00,faceShields,30.0
174,rec9,2020-04-02 17:48:00+00:00,handSanitizer,30.0
175,rec9,2020-04-02 17:48:00+00:00,respirators,30.0
176,rec9,2020-04-02 17:48:00+00:00,gowns,20.0
178,rec9,2020-04-02 17:48:00+00:00,disinfectingWipes,20.0
181,rec10,2020-04-02 17:48:00+00:00,faceShields,30.0
193,rec10,2020-04-02 17:48:00+00:00,respirators,30.0
194,rec10,2020-04-02 17:48:00+00:00,gowns,20.0
199,rec11,2020-04-02 17:48:00+00:00,faceShields,30.0
211,rec11,2020-04-02 17:48:00+00:00,respirators,30.0
212,rec11,2020-04-02 17:48:00+00:00,gowns,20.0
217,rec12,2020-04-02 17:55:00+00:00,faceShields,5000.0
218,rec12,2020-04-02 17:55:00+00:00,thermometers,100.0
228,rec12,2020-04-02 17:55:00+00:00,handSanitizer,100.0
229,rec12,2020-04-02 17:55:00+00:00,respirators,10000.0
235,rec13,2020-04-02 17:55:00+00:00,faceShields,10.0
236,rec13,2020-04-02 17:55:00+00:00,thermometers,10.0
242,rec13,2020-04-02 17:55:00+00:00,handmadeMasks,20.0
243,rec13,2020-04-02 17:55:00+00:00,nitrileGloves,20.0
246,rec13,2020-04-02 17:55:00+00:00,handSanitizer,20.0
247,rec13,2020-04-02 17:55:00+00:00,respirators,10.0
248,rec13,2020-04-02 17:55:00+00:00,gowns,20.0
250,rec13,2020-04-02 17:55:00+00:00,disinfectingWipes,20.0
253,rec14,2020-04-02 21:23:08+00:00,faceShields,5000.0
261,rec14,2020-04-02 21:23:08+00:00,nitrileGloves,10000.0
265,rec14,2020-04-02 21:23:08+00:00,respirators,10000.0
266,rec14,2020-04-02 21:23:08+00:00,gowns,1000.0
271,rec15,2020-04-02 21:23:49+00:00,faceShields,200.0
272,rec15,2020-04-02 21:23:49+00:00,thermometers,50.0
278,rec15,2020-04-02 21:23:49+00:00,handmadeMasks,100.0
279,rec15,2020-04-02 21:23:49+00:00,nitrileGloves,100.0
283,rec15,2020-04-02 21:23:49+00:00,respirators,200.0
284,rec15,2020-04-02 21:23:49+00:00,gowns,400.0
286,rec15,2020-04-02 21:23:49+00:00,disinfectingWipes,50.0
289,rec16,2020-04-02 21:25:28+00:00,faceShields,30.0
301,rec16,2020-04-02 21:25:28+00:00,respirators,30.0
302,rec16,2020-04-02 21:25:28+00:00,gowns,20.0
304,rec16,2020-04-02 21:25:28+00:00,disinfectingWipes,20.0
307,rec17,2020-04-02 21:32:15+00:00,faceShields,10.0
308,rec17,2020-04-02 21:32:15+00:00,thermometers,20.0
312,rec17,2020-04-02 21:32:15+00:00,disposableBooties,100.0
319,rec17,2020-04-02 21:32:15+00:00,respirators,5.0
320,rec17,2020-04-02 21:32:15+00:00,gowns,100.0
322,rec17,2020-04-02 21:32:15+00:00,disinfectingWipes,300.0
330,rec18,2020-04-02 21:38:09+00:00,disposableBooties,500.0
337,rec18,2020-04-02 21:38:09+00:00,respirators,1100.0
338,rec18,2020-04-02 21:38:09+00:00,gowns,1200.0
340,rec18,2020-04-02 21:38:09+00:00,disinfectingWipes,20.0
343,rec19,2020-04-02 21:43:09+00:00,faceShields,100.0
344,rec19,2020-04-02 21:43:09+00:00,thermometers,100.0
348,rec19,2020-04-02 21:43:09+00:00,disposableBooties,100.0
350,rec19,2020-04-02 21:43:09+00:00,handmadeMasks,100.0
355,rec19,2020-04-02 21:43:09+00:00,respirators,150.0
356,rec19,2020-04-02 21:43:09+00:00,gowns,250.0
358,rec19,2020-04-02 21:43:09+00:00,disinfectingWipes,100.0
362,rec20,2020-04-02 21:44:14+00:00,thermometers,125.0
368,rec20,2020-04-02 21:44:14+00:00,handmadeMasks,1200.0
373,rec20,2020-04-02 21:44:14+00:00,respirators,2800.0
374,rec20,2020-04-02 21:44:14+00:00,gowns,2000.0
376,rec20,2020-04-02 21:44:14+00:00,disinfectingWipes,500.0
380,rec21,2020-04-02 21:49:48+00:00,thermometers,2.0
391,rec21,2020-04-02 21:49:48+00:00,respirators,10.0
392,rec21,2020-04-02 21:49:48+00:00,gowns,30.0
397,rec22,2020-04-02 22:32:49+00:00,faceShields,50.0
398,rec22,2020-04-02 22:32:49+00:00,thermometers,12.0
402,rec22,2020-04-02 22:32:49+00:00,disposableBooties,50.0
405,rec22,2020-04-02 22:32:49+00:00,nitrileGloves,5.0
409,rec22,2020-04-02 22:32:49+00:00,respirators,50.0
410,rec22,2020-04-02 22:32:49+00:00,gowns,100.0
412,rec22,2020-04-02 22:32:49+00:00,disinfectingWipes,50.0
415,rec23,2020-04-02 22:50:05+00:00,faceShields,5000.0
416,rec23,2020-04-02 22:50:05+00:00,thermometers,100.0
427,rec23,2020-04-02 22:50:05+00:00,respirators,10000.0
433,rec24,2020-04-03 00:12:00+00:00,faceShields,20.0
434,rec24,2020-04-03 00:12:00+00:00,thermometers,5.0
440,rec24,2020-04-03 00:12:00+00:00,handmadeMasks,25.0
441,rec24,2020-04-03 00:12:00+00:00,nitrileGloves,100.0
444,rec24,2020-04-03 00:12:00+00:00,handSanitizer,15.0
445,rec24,2020-04-03 00:12:00+00:00,respirators,20.0
446,rec24,2020-04-03 00:12:00+00:00,gowns,100.0
448,rec24,2020-04-03 00:12:00+00:00,disinfectingWipes,20.0
451,rec25,2020-04-03 05:07:18+00:00,faceShields,20.0
452,rec25,2020-04-03 05:07:18+00:00,thermometers,5.0
458,rec25,2020-04-03 05:07:18+00:00,handmadeMasks,25.0
459,rec25,2020-04-03 05:07:18+00:00,nitrileGloves,100.0
463,rec25,2020-04-03 05:07:18+00:00,respirators,20.0
464,rec25,2020-04-03 05:07:18+00:00,gowns,100.0
466,rec25,2020-04-03 05:07:18+00:00,disinfectingWipes,20.0
469,rec26,2020-04-03 06:04:00+00:00,faceShields,100.0
474,rec26,2020-04-03 06:04:00+00:00,disposableBooties,100.0
477,rec26,2020-04-03 06:04:00+00:00,nitrileGloves,100.0
480,rec26,2020-04-03 06:04:00+00:00,handSanitizer,300.0
481,rec26,2020-04-03 06:04:00+00:00,respirators,100.0
484,rec26,2020-04-03 06:04:00+00:00,disinfectingWipes,500.0
487,rec27,2020-04-03 06:04:00+00:00,faceShields,100.0
492,rec27,2020-04-03 06:04:00+00:00,disposableBooties,100.0
495,rec27,2020-04-03 06:04:00+00:00,nitrileGloves,100.0
498,rec27,2020-04-03 06:04:00+00:00,handSanitizer,300.0
499,rec27,2020-04-03 06:04:00+00:00,respirators,100.0
502,rec27,2020-04-03 06:04:00+00:00,disinfectingWipes,500.0
506,rec28,2020-04-03 06:07:00+00:00,thermometers,2.0
510,rec28,2020-04-03 06:07:00+00:00,disposableBooties,32.0
513,rec28,2020-04-03 06:07:00+00:00,nitrileGloves,2.0
516,rec28,2020-04-03 06:07:00+00:00,handSanitizer,10.0
517,rec28,2020-04-03 06:07:00+00:00,respirators,12.0
520,rec28,2020-04-03 06:07:00+00:00,disinfectingWipes,3.0
524,rec29,2020-04-03 06:09:00+00:00,thermometers,5.0
534,rec29,2020-04-03 06:09:00+00:00,handSanitizer,100.0
536,rec29,2020-04-03 06:09:00+00:00,gowns,100.0
538,rec29,2020-04-03 06:09:00+00:00,disinfectingWipes,100.0
541,rec30,2020-04-03 06:09:00+00:00,faceShields,10.0
552,rec30,2020-04-03 06:09:00+00:00,handSanitizer,10.0
553,rec30,2020-04-03 06:09:00+00:00,respirators,20.0
559,rec31,2020-04-03 06:11:00+00:00,faceShields,100.0
563,rec31,2020-04-03 06:11:00+00:00,surgicalMasks,5000.0
564,rec31,2020-04-03 06:11:00+00:00,disposableBooties,500.0
572,rec31,2020-04-03 06:11:00+00:00,gowns,1000.0
577,rec32,2020-04-03 06:13:00+00:00,faceShields,100.0
585,rec32,2020-04-03 06:13:00+00:00,nitrileGloves,200.0
588,rec32,2020-04-03 06:13:00+00:00,handSanitizer,30.0
589,rec32,2020-04-03 06:13:00+00:00,respirators,100.0
590,rec32,2020-04-03 06:13:00+00:00,gowns,100.0
592,rec32,2020-04-03 06:13:00+00:00,disinfectingWipes,20.0
595,rec33,2020-04-03 06:14:00+00:00,faceShields,5.0
602,rec33,2020-04-03 06:14:00+00:00,handmadeMasks,10.0
603,rec33,2020-04-03 06:14:00+00:00,nitrileGloves,1000.0
606,rec33,2020-04-03 06:14:00+00:00,handSanitizer,10.0
607,rec33,2020-04-03 06:14:00+00:00,respirators,14.0
608,rec33,2020-04-03 06:14:00+00:00,gowns,14.0
610,rec33,2020-04-03 06:14:00+00:00,disinfectingWipes,3.0
613,rec34,2020-04-03 06:14:00+00:00,faceShields,5.0
620,rec34,2020-04-03 06:14:00+00:00,handmadeMasks,10.0
621,rec34,2020-04-03 06:14:00+00:00,nitrileGloves,1000.0
624,rec34,2020-04-03 06:14:00+00:00,handSanitizer,10.0
625,rec34,2020-04-03 06:14:00+00:00,respirators,14.0
626,rec34,2020-04-03 06:14:00+00:00,gowns,14.0
628,rec34,2020-04-03 06:14:00+00:00,disinfectingWipes,3.0
631,rec35,2020-04-03 06:15:00+00:00,faceShields,25.0
632,rec35,2020-04-03 06:15:00+00:00,thermometers,3.0
638,rec35,2020-04-03 06:15:00+00:00,handmadeMasks,12.0
639,rec35,2020-04-03 06:15:00+00:00,nitrileGloves,10.0
642,rec35,2020-04-03 06:15:00+00:00,handSanitizer,6.0
643,rec35,2020-04-03 06:15:00+00:00,respirators,25.0
644,rec35,2020-04-03 06:15:00+00:00,gowns,25.0
646,rec35,2020-04-03 06:15:00+00:00,disinfectingWipes,5.0
649,rec36,2020-04-03 06:15:00+00:00,faceShields,10.0
660,rec36,2020-04-03 06:15:00+00:00,handSanitizer,5.0
661,rec36,2020-04-03 06:15:00+00:00,respirators,50.0
662,rec36,2020-04-03 06:15:00+00:00,gowns,20.0
664,rec36,2020-04-03 06:15:00+00:00,disinfectingWipes,5.0
667,rec37,2020-04-03 06:17:00+00:00,faceShields,75.0
672,rec37,2020-04-03 06:17:00+00:00,disposableBooties,75.0
674,rec37,2020-04-03 06:17:00+00:00,handmadeMasks,100.0
678,rec37,2020-04-03 06:17:00+00:00,handSanitizer,10.0
679,rec37,2020-04-03 06:17:00+00:00,respirators,75.0
680,rec37,2020-04-03 06:17:00+00:00,gowns,75.0
682,rec37,2020-04-03 06:17:00+00:00,disinfectingWipes,20.0
685,rec38,2020-04-03 06:19:00+00:00,faceShields,2000.0
690,rec38,2020-04-03 06:19:00+00:00,disposableBooties,5000.0
693,rec38,2020-04-03 06:19:00+00:00,nitrileGloves,10000.0
697,rec38,2020-04-03 06:19:00+00:00,respirators,10000.0
698,rec38,2020-04-03 06:19:00+00:00,gowns,10000.0
700,rec38,2020-04-03 06:19:00+00:00,disinfectingWipes,1000.0
703,rec39,2020-04-03 06:21:00+00:00,faceShields,350.0
704,rec39,2020-04-03 06:21:00+00:00,thermometers,357.0
711,rec39,2020-04-03 06:21:00+00:00,nitrileGloves,360.0
714,rec39,2020-04-03 06:21:00+00:00,handSanitizer,595.0
715,rec39,2020-04-03 06:21:00+00:00,respirators,1020.0
716,rec39,2020-04-03 06:21:00+00:00,gowns,1050.0
718,rec39,2020-04-03 06:21:00+00:00,disinfectingWipes,357.0
721,rec40,2020-04-03 06:21:00+00:00,faceShields,400.0
736,rec40,2020-04-03 06:21:00+00:00,disinfectingWipes,100.0
739,rec41,2020-04-03 06:21:00+00:00,faceShields,350.0
740,rec41,2020-04-03 06:21:00+00:00,thermometers,357.0
747,rec41,2020-04-03 06:21:00+00:00,nitrileGloves,360.0
750,rec41,2020-04-03 06:21:00+00:00,handSanitizer,595.0
751,rec41,2020-04-03 06:21:00+00:00,respirators,1020.0
752,rec41,2020-04-03 06:21:00+00:00,gowns,1050.0
754,rec41,2020-04-03 06:21:00+00:00,disinfectingWipes,357.0
758,rec42,2020-04-03 06:25:00+00:00,thermometers,4.0
761,rec42,2020-04-03 06:25:00+00:00,surgicalMasks,30.0
765,rec42,2020-04-03 06:25:00+00:00,nitrileGloves,100.0
768,rec42,2020-04-03 06:25:00+00:00,handSanitizer,7.0
772,rec42,2020-04-03 06:25:00+00:00,disinfectingWipes,7.0
775,rec43,2020-04-03 06:33:00+00:00,faceShields,200.0
779,rec43,2020-04-03 06:33:00+00:00,surgicalMasks,500.0
782,rec43,2020-04-03 06:33:00+00:00,handmadeMasks,100.0
783,rec43,2020-04-03 06:33:00+00:00,nitrileGloves,1500.0
786,rec43,2020-04-03 06:33:00+00:00,handSanitizer,20.0
788,rec43,2020-04-03 06:33:00+00:00,gowns,200.0
790,rec43,2020-04-03 06:33:00+00:00,disinfectingWipes,50.0
794,rec44,2020-04-03 06:42:00+00:00,thermometers,10.0
801,rec44,2020-04-03 06:42:00+00:00,nitrileGloves,3000.0
804,rec44,2020-04-03 06:42:00+00:00,handSanitizer,50.0
805,rec44,2020-04-03 06:42:00+00:00,respirators,200.0
806,rec44,2020-04-03 06:42:00+00:00,gowns,40.0
808,rec44,2020-04-03 06:42:00+00:00,disinfectingWipes,50.0
811,rec45,2020-04-03 06:43:00+00:00,faceShields,4.0
818,rec45,2020-04-03 06:43:00+00:00,handmadeMasks,200.0
822,rec45,2020-04-03 06:43:00+00:00,handSanitizer,12.0
823,rec45,2020-04-03 06:43:00+00:00,respirators,10.0
829,rec46,2020-04-03 06:45:00+00:00,faceShields,300.0
830,rec46,2020-04-03 06:45:00+00:00,thermometers,20.0
834,rec46,2020-04-03 06:45:00+00:00,disposableBooties,300.0
836,rec46,2020-04-03 06:45:00+00:00,handmadeMasks,120.0
837,rec46,2020-04-03 06:45:00+00:00,nitrileGloves,600.0
840,rec46,2020-04-03 06:45:00+00:00,handSanitizer,5.0
841,rec46,2020-04-03 06:45:00+00:00,respirators,300.0
842,rec46,2020-04-03 06:45:00+00:00,gowns,300.0
844,rec46,2020-04-03 06:45:00+00:00,disinfectingWipes,8.0
847,rec47,2020-04-03 06:45:00+00:00,faceShields,300.0
852,rec47,2020-04-03 06:45:00+00:00,disposableBooties,300.0
855,rec47,2020-04-03 06:45:00+00:00,nitrileGloves,600.0
859,rec47,2020-04-03 06:45:00+00:00,respirators,300.0
860,rec47,2020-04-03 06:45:00+00:00,gowns,300.0
865,rec48,2020-04-03 06:49:00+00:00,faceShields,140.0
866,rec48,2020-04-03 06:49:00+00:00,thermometers,40.0
873,rec48,2020-04-03 06:49:00+00:00,nitrileGloves,1400.0
876,rec48,2020-04-03 06:49:00+00:00,handSanitizer,40.0
877,rec48,2020-04-03 06:49:00+00:00,respirators,140.0
878,rec48,2020-04-03 06:49:00+00:00,gowns,140.0
880,rec48,2020-04-03 06:49:00+00:00,disinfectingWipes,1400.0
883,rec49,2020-04-03 06:50:00+00:00,faceShields,100.0
884,rec49,2020-04-03 06:50:00+00:00,thermometers,300.0
888,rec49,2020-04-03 06:50:00+00:00,disposableBooties,100.0
890,rec49,2020-04-03 06:50:00+00:00,handmadeMasks,250.0
891,rec49,2020-04-03 06:50:00+00:00,nitrileGloves,200.0
894,rec49,2020-04-03 06:50:00+00:00,handSanitizer,150.0
895,rec49,2020-04-03 06:50:00+00:00,respirators,100.0
896,rec49,2020-04-03 06:50:00+00:00,gowns,200.0
898,rec49,2020-04-03 06:50:00+00:00,disinfectingWipes,200.0
901,rec50,2020-04-03 06:56:00+00:00,faceShields,50.0
905,rec50,2020-04-03 06:56:00+00:00,surgicalMasks,250.0
908,rec50,2020-04-03 06:56:00+00:00,handmadeMasks,75.0
914,rec50,2020-04-03 06:56:00+00:00,gowns,50.0
919,rec51,2020-04-03 06:57:00+00:00,faceShields,20.0
924,rec51,2020-04-03 06:57:00+00:00,disposableBooties,40.0
926,rec51,2020-04-03 06:57:00+00:00,handmadeMasks,40.0
927,rec51,2020-04-03 06:57:00+00:00,nitrileGloves,500.0
930,rec51,2020-04-03 06:57:00+00:00,handSanitizer,5.0
931,rec51,2020-04-03 06:57:00+00:00,respirators,100.0
932,rec51,2020-04-03 06:57:00+00:00,gowns,50.0
934,rec51,2020-04-03 06:57:00+00:00,disinfectingWipes,5.0
937,rec52,2020-04-03 07:00:00+00:00,faceShields,25.0
948,rec52,2020-04-03 07:00:00+00:00,handSanitizer,25.0
949,rec52,2020-04-03 07:00:00+00:00,respirators,25.0
952,rec52,2020-04-03 07:00:00+00:00,disinfectingWipes,25.0
955,rec53,2020-04-03 07:07:00+00:00,faceShields,10.0
956,rec53,2020-04-03 07:07:00+00:00,thermometers,5.0
962,rec53,2020-04-03 07:07:00+00:00,handmadeMasks,50.0
963,rec53,2020-04-03 07:07:00+00:00,nitrileGloves,300.0
966,rec53,2020-04-03 07:07:00+00:00,handSanitizer,10.0
967,rec53,2020-04-03 07:07:00+00:00,respirators,10.0
968,rec53,2020-04-03 07:07:00+00:00,gowns,30.0
970,rec53,2020-04-03 07:07:00+00:00,disinfectingWipes,20.0
973,rec54,2020-04-03 07:14:00+00:00,faceShields,500.0
974,rec54,2020-04-03 07:14:00+00:00,thermometers,500.0
978,rec54,2020-04-03 07:14:00+00:00,disposableBooties,500.0
980,rec54,2020-04-03 07:14:00+00:00,handmadeMasks,500.0
981,rec54,2020-04-03 07:14:00+00:00,nitrileGloves,500.0
984,rec54,2020-04-03 07:14:00+00:00,handSanitizer,500.0
985,rec54,2020-04-03 07:14:00+00:00,respirators,500.0
986,rec54,2020-04-03 07:14:00+00:00,gowns,500.0
991,rec55,2020-04-03 07:14:00+00:00,faceShields,200.0
992,rec55,2020-04-03 07:14:00+00:00,thermometers,50.0
996,rec55,2020-04-03 07:14:00+00:00,disposableBooties,200.0
999,rec55,2020-04-03 07:14:00+00:00,nitrileGloves,1000.0
1002,rec55,2020-04-03 07:14:00+00:00,handSanitizer,50.0
1003,rec55,2020-04-03 07:14:00+00:00,respirators,300.0
1004,rec55,2020-04-03 07:14:00+00:00,gowns,500.0
1006,rec55,2020-04-03 07:14:00+00:00,disinfectingWipes,1000.0
1021,rec56,2020-04-03 07:14:00+00:00,respirators,12.0
1024,rec56,2020-04-03 07:14:00+00:00,disinfectingWipes,4.0
1027,rec57,2020-04-03 07:17:00+00:00,faceShields,5.0
1028,rec57,2020-04-03 07:17:00+00:00,thermometers,20.0
1031,rec57,2020-04-03 07:17:00+00:00,surgicalMasks,100.0
1034,rec57,2020-04-03 07:17:00+00:00,handmadeMasks,20.0
1038,rec57,2020-04-03 07:17:00+00:00,handSanitizer,20.0
1040,rec57,2020-04-03 07:17:00+00:00,gowns,10.0
1042,rec57,2020-04-03 07:17:00+00:00,disinfectingWipes,20.0
1045,rec58,2020-04-03 07:18:00+00:00,faceShields,50.0
1046,rec58,2020-04-03 07:18:00+00:00,thermometers,30.0
1052,rec58,2020-04-03 07:18:00+00:00,handmadeMasks,50.0
1056,rec58,2020-04-03 07:18:00+00:00,handSanitizer,75.0
1057,rec58,2020-04-03 07:18:00+00:00,respirators,75.0
1058,rec58,2020-04-03 07:18:00+00:00,gowns,75.0
1060,rec58,2020-04-03 07:18:00+00:00,disinfectingWipes,75.0
1063,rec59,2020-04-03 07:19:00+00:00,faceShields,20.0
1075,rec59,2020-04-03 07:19:00+00:00,respirators,20.0
1081,rec60,2020-04-03 07:19:00+00:00,faceShields,20.0
1093,rec60,2020-04-03 07:19:00+00:00,respirators,20.0
1099,rec61,2020-04-03 07:23:00+00:00,faceShields,150.0
1100,rec61,2020-04-03 07:23:00+00:00,thermometers,3.0
1110,rec61,2020-04-03 07:23:00+00:00,handSanitizer,25.0
1111,rec61,2020-04-03 07:23:00+00:00,respirators,50.0
1112,rec61,2020-04-03 07:23:00+00:00,gowns,100.0
1114,rec61,2020-04-03 07:23:00+00:00,disinfectingWipes,25.0
1117,rec62,2020-04-03 07:26:00+00:00,faceShields,10.0
1118,rec62,2020-04-03 07:26:00+00:00,thermometers,2.0
1122,rec62,2020-04-03 07:26:00+00:00,disposableBooties,30.0
1124,rec62,2020-04-03 07:26:00+00:00,handmadeMasks,20.0
1125,rec62,2020-04-03 07:26:00+00:00,nitrileGloves,100.0
1128,rec62,2020-04-03 07:26:00+00:00,handSanitizer,5.0
1129,rec62,2020-04-03 07:26:00+00:00,respirators,15.0
1130,rec62,2020-04-03 07:26:00+00:00,gowns,10.0
1132,rec62,2020-04-03 07:26:00+00:00,disinfectingWipes,5.0
1135,rec63,2020-04-03 07:28:00+00:00,faceShields,10.0
1136,rec63,2020-04-03 07:28:00+00:00,thermometers,10.0
1143,rec63,2020-04-03 07:28:00+00:00,nitrileGloves,300.0
1146,rec63,2020-04-03 07:28:00+00:00,handSanitizer,20.0
1147,rec63,2020-04-03 07:28:00+00:00,respirators,50.0
1150,rec63,2020-04-03 07:28:00+00:00,disinfectingWipes,300.0
1153,rec64,2020-04-03 07:28:00+00:00,faceShields,1000.0
1164,rec64,2020-04-03 07:28:00+00:00,handSanitizer,20.0
1165,rec64,2020-04-03 07:28:00+00:00,respirators,750.0
1166,rec64,2020-04-03 07:28:00+00:00,gowns,1000.0
1168,rec64,2020-04-03 07:28:00+00:00,disinfectingWipes,50.0
1171,rec65,2020-04-03 07:29:00+00:00,faceShields,10.0
1172,rec65,2020-04-03 07:29:00+00:00,thermometers,100.0
1175,rec65,2020-04-03 07:29:00+00:00,surgicalMasks,200.0
1179,rec65,2020-04-03 07:29:00+00:00,nitrileGloves,100.0
1182,rec65,2020-04-03 07:29:00+00:00,handSanitizer,50.0
1186,rec65,2020-04-03 07:29:00+00:00,disinfectingWipes,50.0
1201,rec66,2020-04-03 07:29:00+00:00,respirators,20.0
1207,rec67,2020-04-03 07:31:00+00:00,faceShields,100.0
1212,rec67,2020-04-03 07:31:00+00:00,disposableBooties,1000.0
1219,rec67,2020-04-03 07:31:00+00:00,respirators,1000.0
1220,rec67,2020-04-03 07:31:00+00:00,gowns,1000.0
1229,rec68,2020-04-03 07:31:00+00:00,surgicalMasks,10.0
1232,rec68,2020-04-03 07:31:00+00:00,handmadeMasks,10.0
1233,rec68,2020-04-03 07:31:00+00:00,nitrileGloves,5.0
1236,rec68,2020-04-03 07:31:00+00:00,handSanitizer,5.0
1238,rec68,2020-04-03 07:31:00+00:00,gowns,5.0
1240,rec68,2020-04-03 07:31:00+00:00,disinfectingWipes,5.0
1243,rec69,2020-04-03 07:32:00+00:00,faceShields,200.0
1244,rec69,2020-04-03 07:32:00+00:00,thermometers,10.0
1248,rec69,2020-04-03 07:32:00+00:00,disposableBooties,1000.0
1250,rec69,2020-04-03 07:32:00+00:00,handmadeMasks,400.0
1251,rec69,2020-04-03 07:32:00+00:00,nitrileGloves,800.0
1254,rec69,2020-04-03 07:32:00+00:00,handSanitizer,50.0
1255,rec69,2020-04-03 07:32:00+00:00,respirators,500.0
1256,rec69,2020-04-03 07:32:00+00:00,gowns,500.0
1258,rec69,2020-04-03 07:32:00+00:00,disinfectingWipes,1000.0
1261,rec70,2020-04-03 07:34:00+00:00,faceShields,500.0
1262,rec70,2020-04-03 07:34:00+00:00,thermometers,12.0
1266,rec70,2020-04-03 07:34:00+00:00,disposableBooties,800.0
1269,rec70,2020-04-03 07:34:00+00:00,nitrileGloves,2000.0
1272,rec70,2020-04-03 07:34:00+00:00,handSanitizer,400.0
1273,rec70,2020-04-03 07:34:00+00:00,respirators,400.0
1274,rec70,2020-04-03 07:34:00+00:00,gowns,2000.0
1276,rec70,2020-04-03 07:34:00+00:00,disinfectingWipes,50.0
1279,rec71,2020-04-03 07:34:00+00:00,faceShields,500.0
1280,rec71,2020-04-03 07:34:00+00:00,thermometers,12.0
1284,rec71,2020-04-03 07:34:00+00:00,disposableBooties,800.0
1287,rec71,2020-04-03 07:34:00+00:00,nitrileGloves,2000.0
1290,rec71,2020-04-03 07:34:00+00:00,handSanitizer,400.0
1291,rec71,2020-04-03 07:34:00+00:00,respirators,400.0
1292,rec71,2020-04-03 07:34:00+00:00,gowns,2000.0
1294,rec71,2020-04-03 07:34:00+00:00,disinfectingWipes,50.0
1298,rec72,2020-04-03 07:36:00+00:00,thermometers,3.0
1305,rec72,2020-04-03 07:36:00+00:00,nitrileGloves,500.0
1309,rec72,2020-04-03 07:36:00+00:00,respirators,200.0
